country,x,y
Russia,479.0,176.0
Turkey,569.0,-429.0
France,-252.0,-283.0
Spain,-517.0,-458.0
Portugal,-626.0,-466.0
Germany,-110.0,-166.0
Belgium,-226.0,-154.0
Italy,-100.0,-360.0
Ukrania,423.0,-129.0
Danimark,-125.0,76.0
United Kingdom,-353.0,-67.0
Ireland,-530.0,-27.0
Norway,-142.0,189.0
Netherlands,-199.0,-75.0
Lithuviana,181.0,70.0
Latvia,215.0,128.0
Estonia,189.0,194.0
Czech Republic,25.0,-188.0
Slovakia,121.0,-205.0
Serbia,184.0,-380.0

Poland,116.0,-64.0
Belorussia,293.0,2.0
Switzerland,-156.0,-305.0
Austria,-8.0,-263.0
Hungary,126.0,-283.0
Romania,257.0,-278.0
Bulgaria,313.0,-414.0
Moldavia,348.0,-210.0
Croatia,35.0,-371.0
Bosna,82.0,-382.0
Iceland,-574.0,479.0
Sweden,-27.0,229.0
Finland,159.0,316.0
